threads, time
2, 35472
2, 25162
2, 24623
2, 38303
2, 25991
2, 25622
2, 26097
2, 25313
2, 25337
2, 25359
2, 25309
2, 27029
2, 25536
2, 25922
2, 24880
2, 25015
2, 25414
2, 24924
2, 25445
2, 25460
2, 26152
2, 27255
2, 39975
2, 40408
2, 33937
4, 27043
4, 25170
4, 25498
4, 25371
4, 26145
4, 26137
4, 26380
4, 25783
4, 26235
4, 25997
4, 26160
4, 26275
4, 25618
4, 26141
4, 31061
4, 30117
4, 26637
4, 26951
4, 27020
4, 27044
4, 34459
4, 29036
4, 35727
4, 42630
4, 40832
7, 39358
7, 39171
7, 30080
7, 28156
7, 29647
7, 29300
7, 27842
7, 28439
7, 28647
7, 36907
7, 28642
7, 29052
7, 28825
7, 38153
7, 51432
7, 34474
7, 30328
7, 30403
7, 31814
7, 38904
7, 49267
7, 39991
7, 40678
7, 42148
7, 35079
